"","cena","Oferta od","Kategoria","Marka pojazdu","Model pojazdu","Wersja","Rok produkcji","Przebieg","Pojemnoœæ skokowa","Rodzaj paliwa","Moc","Skrzynia biegów","Napêd","Emisja CO2","Typ","Liczba drzwi","Liczba miejsc","Kolor","VAT mar¿a","Kraj pochodzenia","Pierwsza rejestracja","Numer rejestracyjny pojazdu","Zarejestrowany w Polsce","Bezwypadkowy","Serwisowany w ASO","Stan","Rodzaj koloru","Mo¿liwoœæ finansowania","Faktura VAT","Leasing","Pierwszy w³aœciciel","Filtr cz¹stek sta³ych","Gwarancja dealerska (w cenie)","Uszkodzony","Miesiêczna rata","Tuning","lub do (przebieg km)","Generacja","Okres gwarancji producenta","Op³ata pocz¹tkowa","Liczba pozosta³ych rat","Wartoœæ wykupu","Kod Silnika","Akryl (niemetalizowany)","Zarejestrowany jako zabytek","Homologacja ciê¿arowa","Kierownica po prawej (Anglik)"
"1:1","19 900","Firmy","Osobowe","Alfa Romeo","Giulietta","1.4 TB MultiAir Distinctive","2011","186 000 km","1 368 cm3","Benzyna","170 KM","Manualna","Na przednie ko³a","134 g/km","Kompakt","5","5","Czarny","Tak","Dania","28/02/2011","PKN7463C","Tak","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2","142 799","Firmy","Osobowe","Alfa Romeo","Stelvio",NA,"2018","89 587 km","1 995 cm3","Benzyna","280 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Br¹zowy",NA,"Polska","12/03/2019","WE814VR","Tak",NA,"Tak","U¿ywane","Metalik","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:3","136 799","Firmy","Osobowe","Alfa Romeo","Stelvio",NA,"2018","19 892 km","1 995 cm3","Benzyna","201 KM","Automatyczna","Na tylne ko³a",NA,"SUV","5","5","Bia³y",NA,"Polska","21/02/2019","WE646VM","Tak",NA,"Tak","U¿ywane",NA,"Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:4","149 000","Osoby prywatnej","Osobowe","Alfa Romeo","Stelvio",NA,"2019","21 000 km","1 995 cm3","Benzyna","201 KM","Automatyczna","4x4 (sta³y)","161 g/km","SUV","5","5","Czarny",NA,"Polska","15/12/2020","DW9LL82","Tak","Tak","Tak","U¿ywane",NA,NA,"Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:5","239 900","Firmy","Osobowe","Alfa Romeo","Stelvio","2.0 Turbo Veloce TI Q4","2021","1 km","1 995 cm3","Benzyna","280 KM","Automatyczna","4x4 (sta³y)","158 g/km","SUV","5","5","Bia³y",NA,NA,NA,NA,NA,"Tak",NA,"Nowe","Per³owy","Tak","Tak","Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:6","234 900","Firmy","Osobowe","Alfa Romeo","Stelvio","2.0 Turbo TI Q4","2021","1 km","1 995 cm3","Benzyna","280 KM","Automatyczna","4x4 (sta³y)","158 g/km","SUV","5","5","Zielony",NA,NA,NA,NA,NA,"Tak",NA,"Nowe","Metalik","Tak","Tak","Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:7","237 900","Firmy","Osobowe","Alfa Romeo","Stelvio","2.0 Turbo Veloce Q4","2021","1 km","1 995 cm3","Benzyna","280 KM","Automatyczna","4x4 (sta³y)","158 g/km","SUV","5","5","Czerwony",NA,NA,NA,NA,NA,"Tak",NA,"Nowe",NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:8","188 900","Firmy","Osobowe","Alfa Romeo","Giulia","2.0 Turbo Veloce","2020","1 km","1 995 cm3","Benzyna","280 KM","Automatyczna","Na tylne ko³a","144 g/km","Sedan","4","5","Szary",NA,NA,NA,NA,NA,"Tak",NA,"Nowe","Metalik","Tak","Tak","Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:9","197 900","Firmy","Osobowe","Alfa Romeo","Giulia","2.0 Turbo Veloce Q4","2021","1 km","1 995 cm3","Benzyna","280 KM","Automatyczna","4x4 (sta³y)","156 g/km","Sedan","4","5","Zielony",NA,NA,NA,NA,NA,"Tak",NA,"Nowe","Metalik","Tak","Tak","Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:10","222 900","Firmy","Osobowe","Alfa Romeo","Giulia","2.0 Turbo Veloce Q4","2021","1 km","1 995 cm3","Benzyna","280 KM","Automatyczna","4x4 (sta³y)","156 g/km","Sedan","4","5","Bia³y",NA,NA,"31/03/2021",NA,"Tak","Tak",NA,"Nowe",NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
